Exercise,Primary Muscle,Secondary Muscles,Equipment ,Mechanics Type
Barbell Squat,Quadriceps,Hamstrings:Abdominals,Barbell ,Compound
Seated Leg Press,Quadriceps,,Leg Press,Accessory
Seated Leg Press Calf Extension,Calves,,Leg Press,Accessory
Kneeling One Leg Hamstring Extension,Hamstrings,,Machine,Accessory
Seated Calf Extension,Calves,,Machine,Accessory
