Exercise,Primary Muscle,Secondary Muscles,Equipment ,Mechanics Type
Lat Pulldown,Lats,Biceps,Cable - Bar Attachment,Compound
Straight Arm Pulldown,Middle Back,Abs,Cable - Bar Attachment,Compound
Cable Row,Middle Back,Biceps,Cable - V-Bar Attachment,Compound
Bent Over One-Arm Dumbbell Row,Middle Back,Lats,Dumbbell,Compound
Back Extensions,Lower Back,,Machine,Accessory
Reverse Grip Bent-Over Barbell Row,Middle Back,,Barbell,Accessory
Wide Grip Pull-Ups,Lats,Biceps,Machine,Compound
Deadlifts,Lower Back,Hamstrings:Quadriceps,Barbell,Compound
