Exercise,Primary Muscle,Secondary Muscles,Equipment ,Mechanics Type
Standing Dumbbell Alternating Curl,Biceps,,Dumbbell,Accessory
Barbell Curl,Biceps,Abs ,Barbell,Compound
Seated Dumbbell Incline Curl,Biceps,,Dumbbell,Accessory
Hammer Curl,Biceps,,Dumbbell,Accessory
Cross Hammer Curl,Biceps,,Dumbbell,Accessory
Cable Curl,Biceps,,Cable - Bar Attachment,Accessory
Concentration Curls,Biceps,,Dumbbell,Accessory
