Exercise,Primary Muscle,Secondary Muscles,Equipment ,Mechanics Type
Barbell Close-Grip  Bench Press,Tricep,Chest:Shoulders,Barbell ,Compound
Tricep Pushdown,Tricep,,Cable - Rope Attachment,Accessory
Barbell SkullCrusher,Tricep,,Barbell ,Accessory
Overhead Dumbbell Tricep Extension,Tricep,,Dumbbell,Accessory
Overhead Cable Tricep Extension,Tricep,,Cable - Rope Attachment,Accessory
One-Arm Overhead Dumbbell Tricep Extension,Tricep,,Dumbbell,Accessory
One-Arm Bent Over Tricep Extension,Tricep,,Dumbbell,Accessory
